2022-05-24:14:26:29,382 DEBUG    [connectionpool.py:1001] Starting new HTTPS connection (1): api.kite.trade:443
2022-05-24:14:39:01,328 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 707.35 : 707.8 : 707.05 : 707.5
2022-05-24:14:39:01,328 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.8 : 459.9 : 459.35 : 459.65
2022-05-24:14:39:01,328 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1315.25 : 1315.95 : 1315.0 : 1315.95
2022-05-24:14:39:01,328 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1439.15 : 1440.9 : 1439.15 : 1440.7
2022-05-24:14:39:01,328 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3629.0 : 3630.0 : 3625.85 : 3627.4
2022-05-24:14:39:01,915 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3282.0 : 3282.7 : 3281.0 : 3282.65
2022-05-24:14:39:01,915 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 461.5 : 462.0 : 461.15 : 461.4
2022-05-24:14:40:00,771 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: RELIANCE  : 2603.0 : 2605.6 : 2600.0 : 2605.55
2022-05-24:14:40:00,771 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:40:00,771 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2603.45 : 2605.6 : 2603.45 : 2605.55
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: AMBUJACEM  : 362.85 : 362.95 : 362.5 : 362.95
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:71] One min Candle data :: AMBUJACEM  : 362.7 : 362.95 : 362.5 : 362.95
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: APOLLOHOSP  : 3621.2 : 3630.0 : 3620.25 : 3623.7
2022-05-24:14:40:01,349 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
